See,Szenario,Jahr,Temperatur
LakeDavos,RCP26,1981,8.53
LakeDavos,RCP26,1982,8.42
LakeDavos,RCP26,1983,8.55
LakeDavos,RCP26,1984,8.01
LakeDavos,RCP26,1985,8.33
LakeDavos,RCP26,1986,8.47
LakeDavos,RCP26,1987,8.1
LakeDavos,RCP26,1988,8.3
LakeDavos,RCP26,1989,8.32
LakeDavos,RCP26,1990,8.57
LakeDavos,RCP26,1991,8.39
LakeDavos,RCP26,1992,8.81
LakeDavos,RCP26,1993,8.9
LakeDavos,RCP26,1994,8.07
LakeDavos,RCP26,1995,9.12
LakeDavos,RCP26,1996,8.36
LakeDavos,RCP26,1997,8.67
LakeDavos,RCP26,1998,8.48
LakeDavos,RCP26,1999,8.51
LakeDavos,RCP26,2000,9.27
LakeDavos,RCP26,2001,8.57
LakeDavos,RCP26,2002,9.03
LakeDavos,RCP26,2003,8.8
LakeDavos,RCP26,2004,8.85
LakeDavos,RCP26,2005,8.94
LakeDavos,RCP26,2006,9.68
LakeDavos,RCP26,2007,8.75
LakeDavos,RCP26,2008,8.48
LakeDavos,RCP26,2009,8.84
LakeDavos,RCP26,2010,9.56
LakeDavos,RCP26,2011,8.77
LakeDavos,RCP26,2012,8.6
LakeDavos,RCP26,2013,10.12
LakeDavos,RCP26,2014,9.87
LakeDavos,RCP26,2015,9.0
LakeDavos,RCP26,2016,8.36
LakeDavos,RCP26,2017,8.71
LakeDavos,RCP26,2018,9.16
LakeDavos,RCP26,2019,8.87
LakeDavos,RCP26,2020,9.43
LakeDavos,RCP26,2021,9.13
LakeDavos,RCP26,2022,9.31
LakeDavos,RCP26,2023,10.53
LakeDavos,RCP26,2024,10.47
LakeDavos,RCP26,2025,8.94
LakeDavos,RCP26,2026,9.63
LakeDavos,RCP26,2027,9.59
LakeDavos,RCP26,2028,9.74
LakeDavos,RCP26,2029,9.15
LakeDavos,RCP26,2030,8.65
LakeDavos,RCP26,2031,9.45
LakeDavos,RCP26,2032,9.46
LakeDavos,RCP26,2033,9.78
LakeDavos,RCP26,2034,10.35
LakeDavos,RCP26,2035,10.42
LakeDavos,RCP26,2036,9.52
LakeDavos,RCP26,2037,10.83
LakeDavos,RCP26,2038,9.41
LakeDavos,RCP26,2039,9.61
LakeDavos,RCP26,2040,11.32
LakeDavos,RCP26,2041,9.86
LakeDavos,RCP26,2042,9.12
LakeDavos,RCP26,2043,10.06
LakeDavos,RCP26,2044,10.04
LakeDavos,RCP26,2045,10.04
LakeDavos,RCP26,2046,9.75
LakeDavos,RCP26,2047,11.27
LakeDavos,RCP26,2048,9.69
LakeDavos,RCP26,2049,9.98
LakeDavos,RCP26,2050,10.45
LakeDavos,RCP26,2051,9.86
LakeDavos,RCP26,2052,9.74
LakeDavos,RCP26,2053,10.06
LakeDavos,RCP26,2054,11.17
LakeDavos,RCP26,2055,10.26
LakeDavos,RCP26,2056,10.73
LakeDavos,RCP26,2057,10.49
LakeDavos,RCP26,2058,9.84
LakeDavos,RCP26,2059,10.02
LakeDavos,RCP26,2060,9.26
LakeDavos,RCP26,2061,9.54
LakeDavos,RCP26,2062,9.85
LakeDavos,RCP26,2063,9.78
LakeDavos,RCP26,2064,9.57
LakeDavos,RCP26,2065,10.13
LakeDavos,RCP26,2066,9.57
LakeDavos,RCP26,2067,10.11
LakeDavos,RCP26,2068,11.01
LakeDavos,RCP26,2069,9.7
LakeDavos,RCP26,2070,9.71
LakeDavos,RCP26,2071,9.61
LakeDavos,RCP26,2072,9.74
LakeDavos,RCP26,2073,11.27
LakeDavos,RCP26,2074,9.52
LakeDavos,RCP26,2075,8.91
LakeDavos,RCP26,2076,9.22
LakeDavos,RCP26,2077,9.85
LakeDavos,RCP26,2078,10.3
LakeDavos,RCP26,2079,10.26
